ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.6724642392717816,0.9232444979431502,0.6860957686581651,0.4923882153370254,0.4980334003161471,0.6271258462021234
Decision Tree,0.739109232769831,0.9025853189275523,0.7565955756212106,0.6663157211994213,0.6763654072712633,0.707096075742741
kNN,0.6692132639791938,0.8709868143970219,0.6383586941091403,0.5148652397345707,0.5339763794891481,0.6210129007847542
Naive Bayes,0.33891417425227566,0.8235039329850474,0.44258765336456546,0.4634321209399791,0.27490430881141453,0.32420212994070424
Random Forest,0.7460988296488946,0.943982996528038,0.8128496856058435,0.6191182956643216,0.641494711167039,0.715723807599707
